You | 你
fine; good; nice; O.K.; it's settle | 好
please (polite form of request); to treat or to invite (somebody) | 请
To ask	| 问
honorable; expensive | 贵
Surname | 姓
I; me | 我
question particle (need context) | 呢
Miss; young lady | 小姐
To be called; to call | 叫
What | 什么
Name | 名字
Mr.; husband; teacher | 先生
Lǐ Yǒu | 李友
wáng péng | 王朋
To be | 是
Teacher | 老师
question particle | 吗
Not; no | 不
Student | 学生
Too; also | 也
Person; people | 人
China	| 中国
Beijing | 北京
America | 美国
New York | 纽约
Britain	| 英国
France	 | 法国
German | 德国
Japan | 日本
South Korea | 韩国
Canada | 加拿大
Shanghai | 上海
